[2026-06-18T20:38:20.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T20:38:20.030+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.048+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.049+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-06-18T20:38:20.622+0000] {data_modification.py:80} INFO - Update row with Video_ID: BRq8usfW92Q
[2026-06-18T20:38:20.624+0000] {data_modification.py:80} INFO - Update row with Video_ID: ajkuJMuff30
[2026-06-18T20:38:20.625+0000] {data_modification.py:80} INFO - Update row with Video_ID: YNHnm0SyMeU
[2026-06-18T20:38:20.627+0000] {data_modification.py:80} INFO - Update row with Video_ID: 3OX7MXX_RYY
[2026-06-18T20:38:20.629+0000] {data_modification.py:80} INFO - Update row with Video_ID: X3gdxILQEBI
[2026-06-18T20:38:20.631+0000] {data_modification.py:80} INFO - Update row with Video_ID: c91lXjDs2yE
[2026-06-18T20:38:20.633+0000] {data_modification.py:80} INFO - Update row with Video_ID: 97U_AY9HmxY
[2026-06-18T20:38:20.636+0000] {data_modification.py:80} INFO - Update row with Video_ID: JTpPkjm4q0k
[2026-06-18T20:38:20.638+0000] {data_modification.py:80} INFO - Update row with Video_ID: l3P3-z3TA00
[2026-06-18T20:38:20.640+0000] {data_modification.py:80} INFO - Update row with Video_ID: v-lLejHitXg
[2026-06-18T20:38:20.642+0000] {data_modification.py:80} INFO - Update row with Video_ID: FzE2Wx3muik
[2026-06-18T20:38:20.644+0000] {data_modification.py:80} INFO - Update row with Video_ID: _ywBKaZWyRQ
[2026-06-18T20:38:20.645+0000] {data_modification.py:80} INFO - Update row with Video_ID: lGJ0DogU24A
[2026-06-18T20:38:20.647+0000] {data_modification.py:80} INFO - Update row with Video_ID: MM-m6oT8UB4
[2026-06-18T20:38:20.649+0000] {data_modification.py:80} INFO - Update row with Video_ID: 9g5YCNWUdqs
[2026-06-18T20:38:20.652+0000] {data_modification.py:80} INFO - Update row with Video_ID: RserL93oBQA
[2026-06-18T20:38:20.654+0000] {data_modification.py:80} INFO - Update row with Video_ID: ZYhg04rPLag
[2026-06-18T20:38:20.656+0000] {data_modification.py:80} INFO - Update row with Video_ID: 3cjo-gvtSCs
[2026-06-18T20:38:20.658+0000] {data_modification.py:80} INFO - Update row with Video_ID: gWCj_mrdZDQ
[2026-06-18T20:38:20.660+0000] {data_modification.py:80} INFO - Update row with Video_ID: DM3i7xZrTQE
[2026-06-18T20:38:20.662+0000] {data_modification.py:80} INFO - Update row with Video_ID: K3rUdgCZK_k
[2026-06-18T20:38:20.664+0000] {data_modification.py:80} INFO - Update row with Video_ID: HR5mynAuGMg
[2026-06-18T20:38:20.665+0000] {data_modification.py:80} INFO - Update row with Video_ID: d0m9N98gFgk
[2026-06-18T20:38:20.668+0000] {data_modification.py:80} INFO - Update row with Video_ID: r6PhLtDKDMU
[2026-06-18T20:38:20.671+0000] {data_modification.py:80} INFO - Update row with Video_ID: YOYWf3PT-Bo
[2026-06-18T20:38:20.673+0000] {data_modification.py:80} INFO - Update row with Video_ID: bUXgtEkvHTQ
[2026-06-18T20:38:20.675+0000] {data_modification.py:80} INFO - Update row with Video_ID: g3DLnWOV1iw
[2026-06-18T20:38:20.678+0000] {data_modification.py:80} INFO - Update row with Video_ID: AXtiBRSJGBI
[2026-06-18T20:38:20.680+0000] {data_modification.py:80} INFO - Update row with Video_ID: d1WGXvc9iUI
[2026-06-18T20:38:20.683+0000] {data_modification.py:80} INFO - Update row with Video_ID: sw1NQyETd54
[2026-06-18T20:38:20.685+0000] {data_modification.py:80} INFO - Update row with Video_ID: UD5IwfBo1gw
[2026-06-18T20:38:20.687+0000] {data_modification.py:80} INFO - Update row with Video_ID: YQmn1LwYRrk
[2026-06-18T20:38:20.689+0000] {data_modification.py:80} INFO - Update row with Video_ID: 0FD58k4u9vU
[2026-06-18T20:38:20.690+0000] {data_modification.py:80} INFO - Update row with Video_ID: wVNh8Mx_PfE
[2026-06-18T20:38:20.692+0000] {data_modification.py:80} INFO - Update row with Video_ID: Ib8jzzi_gUI
[2026-06-18T20:38:20.694+0000] {data_modification.py:80} INFO - Update row with Video_ID: ahPSHLEVsUE
[2026-06-18T20:38:20.696+0000] {data_modification.py:80} INFO - Update row with Video_ID: 4GIyE6984tk
[2026-06-18T20:38:20.697+0000] {data_modification.py:80} INFO - Update row with Video_ID: _oEfS4y2E5U
[2026-06-18T20:38:20.700+0000] {data_modification.py:80} INFO - Update row with Video_ID: Sutf_8yHjzY
[2026-06-18T20:38:20.702+0000] {data_modification.py:80} INFO - Update row with Video_ID: zDNsG7F1KC4
[2026-06-18T20:38:20.704+0000] {data_modification.py:80} INFO - Update row with Video_ID: iVqGnjhu6sQ
[2026-06-18T20:38:20.706+0000] {data_modification.py:80} INFO - Update row with Video_ID: 232FQHVz_Us
[2026-06-18T20:38:20.708+0000] {data_modification.py:80} INFO - Update row with Video_ID: fuiEIrJUIZc
[2026-06-18T20:38:20.710+0000] {data_modification.py:80} INFO - Update row with Video_ID: 9Wtyo7K5EIc
[2026-06-18T20:38:20.712+0000] {data_modification.py:80} INFO - Update row with Video_ID: -t-1qJEjPCI
[2026-06-18T20:38:20.714+0000] {data_modification.py:80} INFO - Update row with Video_ID: vDfHZOiGa5s
[2026-06-18T20:38:20.716+0000] {data_modification.py:80} INFO - Update row with Video_ID: ol-QOnFrjvY
